target_id	length	eff_length	est_counts	tpm
NM_001123689.1	2549	2500	22.7007	1.76473
NM_001123690.1	2511	2462	18.1755	1.43475
NM_001123691.1	2274	2225	0	0
NM_001123694.1	1912	1863	0	0
NM_001123695.1	1601	1552	0	0
NM_001123696.1	1451	1402	17.3962	2.41149
NM_001123697.1	1440	1391	0	0
NM_001123698.1	1327	1278	10.4798	1.59367
NM_001123699.1	1284	1235	70.2418	11.0537
NM_001123700.1	1247	1198	0.89026	0.144424
NM_001123701.1	1231	1182	0	0
NM_001123702.2	1195	1146	0	0
NM_001123704.1	1163	1114	43.6693	7.6185
NM_001123705.1	1074	1025	0	0
NM_001123706.1	1065	1016	0	0
NM_001123707.1	1041	992	0	0
NM_001123708.1	1005	956	0	0
NM_001123709.1	1106	1057	1.39836	0.257111
NM_001123710.1	829	780	0	0
NM_001123713.1	2448	2399	0	0
NM_001123714.1	1152	1103	3.29527	0.580623
NM_001123715.1	1086	1037	2.00519	0.375798
NM_001123716.1	823	774	5	1.25547
NM_001123717.1	740	691	0	0
NM_001123718.1	622	573	10.7079	3.63184
NM_001123719.2	4115	4066	0	0
NM_001123720.1	574	525	14.9196	5.523
NM_001123723.1	1486	1437	2	0.27049
NM_001123724.1	1079	1030	0	0
NM_001123725.1	863	814	51.7531	12.3564
NM_001123726.1	863	814	31.6449	7.55541
NM_001123727.1	820	771	1	0.252072
NM_001123728.1	697	648	0	0
NM_001123729.1	816	767	0	0
NM_001123730.1	624	575	0	0
NM_001123731.1	588	539	0	0
NM_001126230.1	2993	2944	102	6.7335
NM_001126232.1	862	813	0	0
NM_001128603.1	1530	1481	0	0
NM_001128604.1	1795	1746	0	0
NM_001130854.1	1357	1308	0	0
NM_001130855.1	1057	1008	2	0.38561
NM_001130856.1	1318	1269	0	0
NM_001130998.1	1339	1290	0	0
NM_001136545.1	1424	1375	1	0.141343
NM_001136546.1	2640	2591	0	0
NM_001136547.1	1119	1070	2	0.363266
NM_001136548.1	2009	1960	5	0.495784
NM_001136549.1	1074	1025	10.2931	1.95164
NM_001136550.1	1080	1031	3.90121	0.735391
NM_001136551.2	643	594	0	0
NM_001136552.1	1650	1601	0	0
NM_001136553.1	1792	1743	2	0.223003
NM_001139521.1	668	619	0	0
NM_001139522.1	789	740	0	0
NM_001139523.1	605	556	0	0
NM_001139524.1	1577	1528	0	0
NM_001139525.1	1074	1025	0	0
NM_001139526.1	1243	1194	0	0
NM_001139527.1	1275	1226	0	0
NM_001139528.1	696	647	0	0
NM_001139529.1	816	767	1	0.253386
NM_001139530.1	1348	1299	0	0
NM_001139531.1	1412	1363	0	0
NM_001139532.1	1418	1369	0	0
NM_001139533.1	1112	1063	0	0
NM_001139534.1	1364	1315	0	0
NM_001139535.1	688	639	0	0
NM_001139536.1	754	705	0	0
NM_001139537.1	1008	959	0	0
NM_001139538.1	1087	1038	0	0
NM_001139539.1	1017	968	0	0
NM_001139540.1	839	790	0	0
NM_001139541.1	902	853	1	0.22784
NM_001139542.1	834	785	0	0
NM_001139543.1	921	872	0	0
NM_001139544.1	840	791	0	0
NM_001139546.1	786	737	0	0
NM_001139547.1	795	746	0	0
NM_001139548.1	803	754	0	0
NM_001139549.1	1257	1208	0	0
NM_001139550.1	849	800	0	0
NM_001139551.1	1078	1029	0	0
NM_001139552.1	912	863	0	0
NM_001139553.1	1264	1215	0	0
NM_001139554.1	1468	1419	0	0
NM_001139555.1	1383	1334	0	0
NM_001139556.1	901	852	0	0
NM_001139557.1	868	819	0	0
NM_001139558.1	1228	1179	0	0
NM_001139559.1	1021	972	0	0
NM_001139560.1	1361	1312	0	0
NM_001139561.1	937	888	0	0
NM_001139562.1	1462	1413	1.32109	0.181706
NM_001139563.2	995	946	0	0
NM_001139564.1	979	930	0	0
NM_001139565.1	1367	1318	0	0
NM_001139566.1	1276	1227	0	0
NM_001139567.1	879	830	0	0
NM_001139568.1	1506	1457	3.73263	0.49789
NM_001139569.1	955	906	0	0
NM_001139570.1	1108	1059	0	0
NM_001139571.1	1087	1038	0	0
NM_001139572.1	925	876	0	0
NM_001139573.1	1396	1347	0	0
NM_001139574.1	1264	1215	2.54684	0.407384
NM_001139575.1	1369	1320	5.15555	0.759066
NM_001139576.1	1782	1733	1.52695	0.17124
NM_001139577.1	1656	1607	0	0
NM_001139578.1	1796	1747	0	0
NM_001139579.1	1263	1214	0	0
NM_001139580.1	1377	1328	6.84445	1.00166
NM_001139581.1	1301	1252	0	0
NM_001139582.1	1569	1520	1	0.12786
NM_001139583.1	1452	1403	0	0
NM_001139584.1	1368	1319	0	0
NM_001139585.1	533	484	0	0
NM_001139586.1	794	745	0.054576	0.0142372
NM_001139587.1	1804	1755	6.96634	0.771447
NM_001139588.1	2240	2191	10.3971	0.922253
NM_001139589.1	1861	1812	64	6.86436
NM_001139590.1	1664	1615	61.2181	7.36692
NM_001139591.1	1370	1321	1	0.147121
NM_001139592.1	518	469	1502.65	622.678
NM_001139593.1	2174	2125	18.6374	1.70453
NM_001139594.1	1566	1517	8.52038e-08	1.09157e-08
NM_001139595.1	1342	1293	2	0.300614
NM_001139596.1	1692	1643	0.691652	0.0818141
NM_001139597.1	1710	1661	2	0.234012
NM_001139598.1	1140	1091	3.18772	0.567851
NM_001139599.1	1323	1274	0	0
NM_001139600.1	282	233	901.559	751.998
NM_001139601.1	1653	1604	0	0
NM_001139602.1	1103	1054	8.36252	1.54197
NM_001139603.1	2462	2413	17.9917	1.44908
NM_001139604.1	1179	1130	5.47501	0.94164
NM_001139605.1	1590	1541	0	0
NM_001139606.1	1105	1056	1.86984	0.344126
NM_001139607.1	2280	2231	10334.9	900.3
NM_001139608.1	1528	1479	180.9	23.7711
NM_001139609.1	2510	2461	65.5873	5.17949
NM_001139610.1	1655	1606	0	0
NM_001139611.1	1346	1297	2.30045	0.344708
NM_001139612.1	2488	2439	22.602	1.801
NM_001139613.1	1903	1854	37.4837	3.92926
NM_001139614.1	1800	1751	0	0
NM_001139615.1	1694	1645	34	4.0169
NM_001139616.1	2168	2119	49.9505	4.58129
NM_001139617.1	800	751	2745.03	710.371
NM_001139619.1	1400	1351	1	0.143854
NM_001139620.1	1572	1523	25.3846	3.23929
NM_001139621.1	1955	1906	16.9076	1.724
NM_001139622.1	1849	1800	12	1.29565
NM_001139623.1	1373	1324	5	0.73394
NM_001139624.1	1979	1930	94.69	9.5351
NM_001139625.1	1881	1832	33.85	3.59097
NM_001139626.1	2812	2763	45.7734	3.21966
NM_001139627.1	2006	1957	15.4442	1.53374
NM_001139628.1	1347	1298	0	0
NM_001139629.1	1316	1267	30.4288	4.66753
NM_001139630.1	1408	1359	8.09316	1.15738
NM_001139631.1	1706	1657	23.8245	2.79434
NM_001139632.1	1859	1810	60	6.44245
NM_001139633.1	1640	1591	49.9754	6.1047
NM_001139634.1	1294	1245	21	3.27815
NM_001139635.1	1197	1148	0	0
NM_001139636.1	1997	1948	40	3.9907
NM_001139637.1	1469	1420	0	0
NM_001139638.1	1829	1780	61.7528	6.7424
NM_001139639.1	2013	1964	0	0
NM_001139640.1	1452	1403	64.2761	8.9037
NM_001139641.1	1507	1458	73.4924	9.79633
NM_001139642.1	1418	1369	5	0.709815
NM_001139643.1	1280	1231	0	0
NM_001139644.1	1102	1053	42.0977	7.76977
NM_001139645.1	2004	1955	0	0
NM_001139646.1	1528	1479	22	2.8909
NM_001139647.1	420	371	1176.86	616.497
NM_001139648.1	2254	2205	67.8181	5.97744
NM_001139649.2	981	932	62.8928	13.1149
NM_001139650.1	3791	3742	10.9167	0.566979
NM_001139651.1	1751	1702	26.5446	3.03106
NM_001139652.1	1771	1722	1	0.112861
NM_001139653.1	1432	1383	3	0.421578
NM_001139654.1	1562	1513	20.2086	2.59583
NM_001139655.1	2221	2172	21.5498	1.92824
NM_001139656.1	1467	1418	54	7.40109
NM_001139657.1	3080	3031	26.3279	1.68814
NM_001139658.1	1902	1853	17.2735	1.81169
NM_001139659.1	1291	1242	10.1619	1.59013
NM_001139660.1	1823	1774	0.00218501	0.000239374
NM_001139661.1	1991	1942	2.18234	0.2184
NM_001139662.1	1671	1622	8.2251	0.985527
NM_001139663.1	1377	1328	0	0
NM_001139664.1	1176	1127	38.9426	6.71551
NM_001139665.1	1734	1685	6.19588	0.71463
NM_001139666.1	2080	2031	10.0483	0.961527
NM_001139667.1	1799	1750	25.698	2.8539
NM_001139668.1	1273	1224	6.35251	1.00865
NM_001139669.1	830	781	3.0378	0.755939
NM_001139670.1	1657	1608	40	4.83451
NM_001139671.1	1770	1721	81.2432	9.17454
NM_001139672.1	495	446	76.8289	33.4787
NM_001139673.1	2426	2377	1.81907	0.14873
NM_001139674.1	1360	1311	15.3653	2.27781
NM_001139675.1	1369	1320	15.3968	2.26691
NM_001139676.1	882	833	509.14	118.787
NM_001139677.1	708	659	54.5558	16.0892
NM_001139678.1	1286	1237	149.68	23.5165
NM_001139679.1	2312	2263	0	0
NM_001139680.1	1358	1309	14.2912	2.12181
NM_001139681.1	806	757	90.3808	23.2038
NM_001139682.1	2290	2241	0.000103331	8.96123e-06
NM_001139683.1	2281	2232	19.199	1.67172
NM_001139684.1	1656	1607	1.81835e-07	2.19907e-08
NM_001139685.1	1940	1891	19	1.95272
NM_001139686.1	1983	1934	142.935	14.3635
NM_001139687.1	723	674	65.5345	18.8968
NM_001139688.1	1852	1803	36.8752	3.97481
NM_001139689.1	859	810	13.8055	3.31241
NM_001139690.1	1699	1650	11.4922	1.35362
NM_001139691.1	978	929	116.923	24.4603
NM_001139692.1	407	358	758.812	411.936
NM_001139693.1	479	430	891.387	402.881
NM_001139694.1	2180	2131	5	0.456
NM_001139695.1	637	588	0	0
NM_001139696.1	349	300	446.809	289.453
NM_001139697.1	542	493	2213.5	872.592
NM_001139698.1	1052	1003	328.149	63.5842
NM_001139699.1	726	677	54.122	15.5369
NM_001139700.1	1286	1237	426.424	66.9963
NM_001139701.1	1532	1483	4.1478	0.543569
NM_001139702.1	1383	1334	138.68	20.204
NM_001139703.1	910	861	462.945	104.497
NM_001139704.1	1181	1132	0	0
NM_001139705.1	2599	2550	45.9236	3.50005
NM_001139706.1	2000	1951	1	0.0996142
NM_001139707.1	1093	1044	0	0
NM_001139708.1	1524	1475	1.34666	0.177436
NM_001139709.1	1591	1542	2.65334	0.334417
NM_001139710.1	983	934	7.86183	1.63589
NM_001139711.1	1298	1249	4.4767	0.696585
NM_001139712.1	847	798	156.22	38.0462
NM_001139713.1	1119	1070	175.694	31.9118
NM_001139714.1	1488	1439	80.6381	10.8907
NM_001139715.1	1580	1531	20.742	2.63302
NM_001139716.1	1582	1533	6.42013	0.813916
NM_001139717.1	1104	1055	54.9694	10.1262
NM_001139719.1	1205	1156	76.5808	12.8748
NM_001139720.1	1145	1096	42.5879	7.55187
NM_001139721.1	1579	1530	0	0
NM_001139722.1	965	916	579.714	122.998
NM_001139723.1	2220	2171	11	0.984717
NM_001139724.1	1707	1658	290.725	34.0781
NM_001139725.1	1835	1786	188.275	20.4875
NM_001139726.1	1452	1403	72.4587	10.0372
NM_001139727.1	1388	1339	0	0
NM_001139728.1	1089	1040	3.18616	0.595405
NM_001139729.1	1110	1061	0	0
NM_001139730.1	1201	1152	3.99999	0.674815
NM_001139731.1	1696	1647	34.2942	4.04674
NM_001139732.1	1782	1733	20.783	2.33071
NM_001139733.1	715	666	1664.39	485.69
NM_001139734.1	393	344	1054.47	595.738
NM_001139735.1	439	390	330.142	164.519
NM_001139736.1	532	483	2057.73	827.981
NM_001139737.1	485	436	2680.97	1195.04
NM_001139738.1	568	519	1372.13	513.815
NM_001139739.1	1443	1394	7.55975	1.05396
NM_001139740.1	1602	1553	0	0
NM_001139741.1	1870	1821	0	0
NM_001139742.1	1180	1131	0	0
NM_001139743.1	472	423	96.2811	44.2363
NM_001139744.1	1409	1360	317.865	45.4236
NM_001139745.1	1449	1400	278.922	38.7198
NM_001139746.1	1172	1123	1	0.173061
NM_001139747.1	883	834	0	0
NM_001139748.1	1560	1511	3.91999	0.504195
NM_001139749.1	1456	1407	31.5972	4.36449
NM_001139750.1	1407	1358	38	5.43829
NM_001139751.1	2628	2579	4.65283	0.350626
NM_001139752.1	4047	3998	0	0
NM_001139753.1	926	877	9	1.99444
NM_001139754.1	2199	2150	8	0.723153
NM_001139755.1	2490	2441	4.86005	0.386947
NM_001139756.1	2730	2681	246.171	17.8451
NM_001139757.1	2177	2128	5.98131	0.546265
NM_001139759.1	1372	1323	95.6783	14.055
NM_001139760.1	1703	1654	13.6592	1.60497
NM_001139761.1	1854	1805	72.6066	7.81767
NM_001139762.1	910	861	6	1.35434
NM_001139763.1	1572	1523	1468.54	187.397
NM_001139764.1	2341	2292	114	9.66649
NM_001139765.1	1950	1901	34	3.47596
NM_001139766.1	2081	2032	5.00525	0.478719
NM_001139767.1	1974	1925	2.2201	0.224141
NM_001139768.1	2605	2556	83.2393	6.32916
NM_001139769.1	2102	2053	23.8779	2.2604
NM_001139770.1	2480	2431	21.9999	1.75879
NM_001139771.1	2859	2810	0	0
NM_001139772.1	3600	3551	31.4305	1.7202
NM_001139773.1	2736	2687	304.241	22.0054
NM_001139774.1	2683	2634	0	0
NM_001139775.1	1839	1790	11.8223	1.28359
NM_001139776.1	2095	2046	25.0261	2.3772
NM_001139777.1	2984	2935	33.2108	2.19912
NM_001139778.1	1496	1447	134.967	18.1275
NM_001139779.1	1912	1863	0	0
NM_001139780.1	2013	1964	37.6336	3.72402
NM_001139781.1	2076	2027	22.86	2.1918
NM_001139782.1	2766	2717	0	0
NM_001139783.1	2086	2037	97.1473	9.26868
NM_001139784.1	2324	2275	5.17007e-06	4.41665e-07
NM_001139785.1	1845	1796	17.6069	1.90527
NM_001139786.1	1714	1665	2	0.23345
NM_001139787.1	2342	2293	0	0
NM_001139788.1	2300	2251	20	1.72676
NM_001139789.1	2579	2530	9.83698e-06	7.55648e-07
NM_001139790.1	2018	1969	8.30984	0.82021
NM_001139791.1	2140	2091	0	0
NM_001139792.1	2984	2935	0	0
NM_001139793.1	2039	1990	123.957	12.1059
NM_001139794.1	2008	1959	52.9351	5.25155
NM_001139795.1	2406	2357	0	0
NM_001139796.1	2726	2677	7.00972	0.508898
NM_001139797.1	2046	1997	6.71851	0.653842
NM_001139798.1	2151	2102	4.17244	0.385776
NM_001139799.1	1956	1907	12	1.22295
NM_001139800.1	2182	2133	91.3797	8.32602
NM_001139801.1	1475	1426	133	18.1264
NM_001139802.1	1722	1673	0	0
NM_001139803.1	2529	2480	0	0
NM_001139804.1	2360	2311	26.9271	2.26448
NM_001139805.1	2434	2385	5.41249	0.441049
NM_001139806.1	2398	2349	78.627	6.5053
NM_001139807.1	2343	2294	43.3008	3.66844
NM_001139808.1	2413	2364	0	0
NM_001139809.1	3017	2968	0	0
NM_001139810.1	3515	3466	5.66556	0.317682
NM_001139811.1	2147	2098	48.8727	4.5273
NM_001139813.1	1986	1937	10.3207	1.03552
NM_001139814.1	2359	2310	0	0
NM_001139815.1	2094	2045	25.7861	2.45059
NM_001139816.1	3034	2985	20.34	1.32429
NM_001139817.1	2584	2535	40.0543	3.07078
NM_001139818.1	3002	2953	0.000104034	6.84687e-06
NM_001139819.1	2133	2084	0	0
NM_001139820.1	2274	2225	155.205	13.5567
NM_001139821.1	2810	2761	14.0257	0.987273
NM_001139822.1	2020	1971	31.623	3.11813
NM_001139823.1	1992	1943	33	3.3008
NM_001139824.1	2316	2267	14.6221	1.25354
NM_001139825.1	3311	3262	18.3115	1.09098
NM_001139826.1	2640	2591	146.22	10.9677
NM_001139827.1	2174	2125	22.3685	2.04577
NM_001139828.1	1866	1817	68	7.27331
NM_001139829.1	2427	2378	51.5543	4.21338
NM_001139830.1	3588	3539	14.7777	0.811533
NM_001139831.1	2303	2254	25.5911	2.20655
NM_001139832.1	2329	2280	0	0
NM_001139833.1	3116	3067	28.2934	1.79287
NM_001139834.1	2082	2033	0	0
NM_001139835.1	1792	1743	13	1.44952
NM_001139836.1	2581	2532	15.6216	1.19906
NM_001139837.1	3188	3139	40.3031	2.49531
NM_001139838.1	2174	2125	12.0808	1.10488
NM_001139839.1	1861	1812	6	0.643534
NM_001139840.1	2054	2005	0	0
NM_001139841.1	2203	2154	13	1.17294
NM_001139842.1	2447	2398	1.10968	0.0899344
NM_001139843.1	3427	3378	16.7006	0.960838
NM_001139844.1	2384	2335	12.0914	1.0064
NM_001139845.1	2438	2389	25	2.03377
NM_001139846.1	2029	1980	36.0784	3.54128
NM_001139847.1	1864	1815	16.8665	1.80604
NM_001139848.1	2924	2875	9.64682	0.652116
NM_001139849.1	3544	3495	30.7358	1.70913
NM_001139850.1	2496	2447	24.6943	1.96129
NM_001139851.1	1944	1895	26.3733	2.70479
NM_001139852.1	2534	2485	12.9188	1.01035
NM_001139853.1	2148	2099	143.205	13.2594
NM_001139854.1	2356	2307	0	0
NM_001139855.1	2662	2613	9.87218	0.734263
NM_001139856.1	3221	3172	4.59692	0.281651
NM_001139857.1	2369	2320	0	0
NM_001139858.1	1741	1692	27	3.10129
NM_001139859.1	2171	2122	0	0
NM_001139860.1	2489	2440	81.4196	6.48511
NM_001139861.1	2172	2123	21	1.92242
NM_001139862.1	2010	1961	24.338	2.41205
NM_001139863.1	2429	2380	1.31709	0.107551
NM_001139864.1	2018	1969	0	0
NM_001139865.1	2257	2208	45.973	4.04652
NM_001139866.1	2561	2512	89.1357	6.89621
NM_001139867.1	2798	2749	69.4898	4.91275
NM_001139868.1	2342	2293	65.437	5.54623
NM_001139869.1	3386	3337	9.44748	0.550222
NM_001139870.1	2338	2289	0.00836265	0.00071003
NM_001139871.1	2038	1989	17	1.66109
NM_001139872.1	3901	3852	11.9182	0.601315
NM_001139873.1	2948	2899	10.9603	0.734772
NM_001139874.1	2003	1954	0	0
NM_001139875.1	1976	1927	93.1898	9.39864
NM_001139876.1	2234	2185	5	0.444731
NM_001139877.1	3128	3079	69.6619	4.39708
NM_001139878.1	2630	2581	3.96003	0.298187
NM_001139879.1	1935	1886	3.04047	0.313312
NM_001139880.1	2168	2119	10.6448	0.9763
NM_001139881.1	4267	4218	9	0.414681
NM_001139882.1	2637	2588	43	3.22911
NM_001139883.1	2600	2551	7.0134	0.534314
NM_001139884.1	2596	2547	1.00121	0.076397
NM_001139885.1	2098	2049	9.35541	0.887359
NM_001139886.1	2060	2011	32.1637	3.10837
NM_001139887.1	2303	2254	16	1.37957
NM_001139888.1	2447	2398	0	0
NM_001139889.1	2498	2449	0	0
NM_001139890.1	3101	3052	0	0
NM_001139891.1	2140	2091	27.0276	2.51207
NM_001139892.1	2451	2402	0.000817346	6.6132e-05
NM_001139893.1	1948	1899	17.2488	1.76527
NM_001139894.1	1917	1868	136.819	14.2347
NM_001139895.1	2059	2010	19.7354	1.90822
NM_001139896.1	2607	2558	33.3058	2.53045
NM_001139897.1	1846	1797	0	0
NM_001139898.1	2723	2674	0	0
NM_001139899.1	1809	1760	7.00849	0.77391
NM_001139900.1	2089	2040	0	0
NM_001139901.1	1789	1740	0	0
NM_001139902.1	2729	2680	124.263	9.01124
NM_001139903.1	2224	2175	15	1.34033
NM_001139904.1	2269	2220	5.00697	0.438329
NM_001139905.1	2142	2093	10.6717	0.990932
NM_001139906.1	2277	2228	23	2.00628
NM_001139907.1	2251	2202	0	0
NM_001139908.1	2685	2636	50.0405	3.68939
NM_001139909.1	2449	2400	61.9765	5.01874
NM_001139910.1	2044	1995	101	9.83913
NM_001139911.1	2479	2430	8.05773	0.644443
NM_001139912.1	2418	2369	2361.08	193.698
NM_001139913.1	1634	1585	45.166	5.5381
NM_001139914.1	2406	2357	0	0
NM_001139915.1	2689	2640	2.45926	0.181042
NM_001139916.1	2477	2428	33.029	2.64378
NM_001139917.1	2832	2783	88.5818	6.186
NM_001139918.1	2120	2071	0	0
NM_001139919.1	2309	2260	0	0
NM_001139920.1	4385	4336	0	0
NM_001139921.1	2142	2093	1.00148	0.0929931
NM_001139922.3	1987	1938	0	0
NM_001139923.1	2397	2348	32	2.64868
NM_001139924.1	2666	2617	0	0
NM_001139925.1	3941	3892	8.01066	0.400013
NM_001139926.1	1907	1858	13.0021	1.36002
NM_001139927.1	2358	2309	1	0.0841694
NM_001139928.1	2358	2309	15	1.26254
NM_001139929.1	2202	2153	2	0.180536
NM_001139930.1	2724	2675	0	0
NM_001139931.1	2140	2091	0	0
NM_001139932.1	3063	3014	111.903	7.21564
NM_001139933.1	1917	1868	24.2294	2.52083
NM_001139934.1	2104	2055	39.9046	3.77389
NM_001139935.1	1584	1535	39.0307	4.9417
NM_001139936.1	2322	2273	45.2607	3.8699
NM_001139937.1	3102	3053	2.46739	0.157068
NM_001139938.1	2413	2364	0	0
NM_001139939.1	2569	2520	71	5.47566
NM_001139940.1	2242	2193	2	0.177243
NM_001139941.1	2640	2591	48.0129	3.60138
NM_001139942.1	1892	1843	0	0
NM_001139943.1	2310	2261	1.36589	0.117407
NM_001139944.1	2615	2566	0	0
NM_001139945.1	2273	2224	24.0688	2.10329
NM_001139946.1	2147	2098	15.5386	1.43941
