"GeneID"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"SeqID.x"	"pident.x"	"length.x"	"mismatch.x"	"gapopen.x"	"qstart.x"	"qend.x"	"sstart.x"	"send.x"	"evalue.x"	"bitscore.x"	"NA."	"NA.1"	"SeqID.y"	"pident.y"	"length.y"	"mismatch.y"	"gapopen.y"	"qstart.y"	"qend.y"	"sstart.y"	"send.y"	"evalue.y"	"bitscore.y"	"NA"	"NA"
"16"	"g10298.t1"	27.4787960135255	-7.90358121677768	1.45016657201473	-5.45011957198624	5.0335965946032e-08	4.10797410970673e-06	"sp"	"Q15485"	"FCN2_HUMAN"	48.148	216	107	2	214	861	102	312	3.99e-62	202	"sp"	"Q15485"	"FCN2_HUMAN"	48.148	216	107	2	214	861	102	312	3.99e-62	202
"17"	"g10318.t1"	488.353593504923	-2.91915195890447	0.481013864886961	-6.06874805904082	1.28911186751357e-09	1.53543675679252e-07	"sp"	"B8JK39"	"ITA9_MOUSE"	33.163	781	460	26	4	2235	41	796	2.04e-105	357	"sp"	"B8JK39"	"ITA9_MOUSE"	33.163	781	460	26	4	2235	41	796	2.04e-105	357
"18"	"g10320.t1"	61.6898676018335	-3.10168352447263	0.758213893025958	-4.09077643261602	4.29931426763994e-05	0.00128020797145197	"sp"	"P00029"	"CYC_ASTRU"	69.903	103	31	0	25	333	2	104	8.09e-52	161	"sp"	"P00029"	"CYC_ASTRU"	69.903	103	31	0	25	333	2	104	8.09e-52	161
"19"	"g10353.t1"	14.8142388865911	-5.82556026915041	1.50969648902954	-3.85876254696411	0.000113962596561903	0.00294564905013669	"sp"	"Q15485"	"FCN2_HUMAN"	57.219	187	78	2	241	798	127	312	1.08e-60	197	"sp"	"Q15485"	"FCN2_HUMAN"	57.219	187	78	2	241	798	127	312	1.08e-60	197
"20"	"g10414.t2"	46.4137321150419	-9.81794315629033	1.27103307247045	-7.72438056014363	1.12398575400816e-14	3.66918905030663e-12	"sp"	"Q32NH8"	"PLCD4_XENLA"	41.965	753	402	15	79	2298	15	745	0	582	"sp"	"Q32NH8"	"PLCD4_XENLA"	41.965	753	402	15	79	2298	15	745	0	582
"21"	"g10414.t3"	5.88825271066086	5.2762763791446	1.59546058111783	3.30705530527611	0.0009428227583392	0.0154749344357574	"sp"	"Q32NH8"	"PLCD4_XENLA"	42.359	746	402	13	79	2277	15	745	0	583	"sp"	"Q32NH8"	"PLCD4_XENLA"	42.359	746	402	13	79	2277	15	745	0	583
"22"	"g10440.t1"	9.80575904361947	-6.11198953015365	1.375555718936	-4.4432874990199	8.85946548835368e-06	0.00035016739378632	"sp"	"Q80V42"	"CBPM_MOUSE"	47.074	376	187	8	112	1227	12	379	7.53e-107	327	"sp"	"Q80V42"	"CBPM_MOUSE"	47.074	376	187	8	112	1227	12	379	7.53e-107	327
"23"	"g10466.t1"	46.5932113820576	-2.32204939644918	0.733343784117662	-3.16638587077275	0.0015434589973382	0.0223017173812113	"sp"	"Q9BYK8"	"HELZ2_HUMAN"	41.652	557	304	9	211	1848	2337	2883	8.13e-118	390	"sp"	"Q9BYK8"	"HELZ2_HUMAN"	41.652	557	304	9	211	1848	2337	2883	8.13e-118	390
"24"	"g10467.t1"	56.8489239690192	-3.05792496311046	0.717596535872599	-4.26134298348028	2.03202096845719e-05	0.000694195070386887	"sp"	"E9QAM5"	"HELZ2_MOUSE"	29.193	322	181	12	3880	4797	2654	2944	6.19e-23	112	"sp"	"E9QAM5"	"HELZ2_MOUSE"	29.193	322	181	12	3880	4797	2654	2944	6.19e-23	112
"25"	"g10467.t1"	56.8489239690192	-3.05792496311046	0.717596535872599	-4.26134298348028	2.03202096845719e-05	0.000694195070386887	"sp"	"E9QAM5"	"HELZ2_MOUSE"	29.193	322	181	12	3880	4797	2654	2944	6.19e-23	112	"sp"	"E9QAM5"	"HELZ2_MOUSE"	28.247	2025	1224	64	1912	7773	275	2141	2.44e-177	614
"26"	"g10467.t1"	56.8489239690192	-3.05792496311046	0.717596535872599	-4.26134298348028	2.03202096845719e-05	0.000694195070386887	"sp"	"E9QAM5"	"HELZ2_MOUSE"	28.247	2025	1224	64	1912	7773	275	2141	2.44e-177	614	"sp"	"E9QAM5"	"HELZ2_MOUSE"	29.193	322	181	12	3880	4797	2654	2944	6.19e-23	112
"27"	"g10467.t1"	56.8489239690192	-3.05792496311046	0.717596535872599	-4.26134298348028	2.03202096845719e-05	0.000694195070386887	"sp"	"E9QAM5"	"HELZ2_MOUSE"	28.247	2025	1224	64	1912	7773	275	2141	2.44e-177	614	"sp"	"E9QAM5"	"HELZ2_MOUSE"	28.247	2025	1224	64	1912	7773	275	2141	2.44e-177	614
"28"	"g10481.t1"	30.640259160323	3.11104897315396	0.846507641739906	3.67515757655717	0.000237702658365447	0.00541372411067971	"sp"	"A4FV48"	"FADS2_BOVIN"	49.051	316	130	2	52	906	20	335	6.46e-84	262	"sp"	"A4FV48"	"FADS2_BOVIN"	49.051	316	130	2	52	906	20	335	6.46e-84	262
"29"	"g10482.t1"	35.5866883907921	3.86982222968468	0.815758276413416	4.74383446858651	2.09710233984157e-06	0.000104428587702619	"sp"	"O60427"	"FADS1_HUMAN"	72.727	99	27	0	1	297	345	443	2.76e-46	156	"sp"	"O60427"	"FADS1_HUMAN"	72.727	99	27	0	1	297	345	443	2.76e-46	156
"30"	"g10596.t1"	125.782594735413	-2.06696391045604	0.704638752823776	-2.93336678145059	0.00335307516234976	0.0397231243023532	"sp"	"Q14596"	"NBR1_HUMAN"	32.877	438	193	15	751	1941	215	592	2.37e-47	188	"sp"	"Q14596"	"NBR1_HUMAN"	32.877	438	193	15	751	1941	215	592	2.37e-47	188
"31"	"g10608.t1"	21.4178241384524	-3.73357439048024	1.2184283348752	-3.06425440349157	0.00218213260193427	0.0284938025977017	"sp"	"Q6UXS0"	"CL19A_HUMAN"	40.625	160	85	4	430	888	25	181	1.72e-29	114	"sp"	"Q6UXS0"	"CL19A_HUMAN"	40.625	160	85	4	430	888	25	181	1.72e-29	114
"32"	"g10616.t1"	56.6387950690789	-3.39372559333561	0.708416231064416	-4.7905813623672	1.66298771999695e-06	8.62210221414891e-05	"sp"	"P60815"	"FLVC2_RAT"	53.318	422	191	3	250	1503	96	515	1.49e-148	439	"sp"	"P60815"	"FLVC2_RAT"	53.318	422	191	3	250	1503	96	515	1.49e-148	439
"33"	"g10617.t1"	7.51533801615639	-7.00590909794049	1.79596382208374	-3.90091883354977	9.58282787738948e-05	0.0025212849227257	"sp"	"P43354"	"NR4A2_HUMAN"	63.609	338	121	2	1492	2502	262	598	5.54e-128	399	"sp"	"P43354"	"NR4A2_HUMAN"	63.609	338	121	2	1492	2502	262	598	5.54e-128	399
"34"	"g10805.t1"	663.623777291542	3.57388572401004	0.608370210928909	5.87452452438975	4.24058701035582e-09	4.5031968565393e-07	"sp"	"Q9UM22"	"EPDR1_HUMAN"	44.886	176	93	2	124	648	41	213	3.88e-50	168	"sp"	"Q9UM22"	"EPDR1_HUMAN"	44.886	176	93	2	124	648	41	213	3.88e-50	168
"35"	"g10833.t1"	58.6484849786615	-8.15431124760707	1.04810760216634	-7.78003253745402	7.25058980727275e-15	2.55626794245208e-12	"sp"	"Q9UPX8"	"SHAN2_HUMAN"	38.599	671	329	14	721	2490	51	719	2.3e-125	437	"sp"	"Q9UPX8"	"SHAN2_HUMAN"	38.599	671	329	14	721	2490	51	719	2.3e-125	437
"36"	"g10883.t1"	34.1296971636597	4.32948781299646	0.80434341862298	5.38263596463368	7.34028929550364e-08	5.72542565049284e-06	"sp"	"Q8R367"	"RERG_MOUSE"	46.746	169	78	3	52	540	6	168	4.47e-42	144	"sp"	"Q8R367"	"RERG_MOUSE"	46.746	169	78	3	52	540	6	168	4.47e-42	144
"37"	"g11128.t1"	36.733836739153	-4.08199153562342	0.771428492346064	-5.29147105159325	1.21336398498006e-07	8.6246694867857e-06	"sp"	"Q8WXX0"	"DYH7_HUMAN"	70.341	3955	1134	13	55	11844	37	3977	0	5517	"sp"	"Q8WXX0"	"DYH7_HUMAN"	70.341	3955	1134	13	55	11844	37	3977	0	5517
"38"	"g11165.t1"	29.1457988734127	3.40624968738378	0.892474910131958	3.81663355318318	0.000135284862313978	0.00338750220578239	"sp"	"Q8VIL2"	"RWDD3_MOUSE"	38.462	260	152	5	19	789	8	262	2.17e-43	151	"sp"	"Q8VIL2"	"RWDD3_MOUSE"	38.462	260	152	5	19	789	8	262	2.17e-43	151
"39"	"g11193.t1"	23.3559088318847	3.95672471177672	0.976232905911515	4.05305402821092	5.05533215137814e-05	0.00148032217881219	"sp"	"P16331"	"PH4H_MOUSE"	47.098	448	221	5	58	1386	16	452	1.11e-141	416	"sp"	"P16331"	"PH4H_MOUSE"	47.098	448	221	5	58	1386	16	452	1.11e-141	416
"40"	"g11204.t1"	176.136703418078	-4.12335033475506	1.12255483405705	-3.67318389236522	0.000239546963538414	0.00544166736244221	"sp"	"G8HTB6"	"ZPP_ACRMI"	27.843	255	176	6	2236	2988	71	321	3.55e-24	110	"sp"	"G8HTB6"	"ZPP_ACRMI"	27.843	255	176	6	2236	2988	71	321	3.55e-24	110
"41"	"g11221.t1"	93.1124443174013	-2.16595357898947	0.679160282613673	-3.18916408164217	0.00142684863735356	0.0212078311798217	"sp"	"O95425"	"SVIL_HUMAN"	45.297	925	453	14	748	3480	1329	2214	0	790	"sp"	"O95425"	"SVIL_HUMAN"	45.297	925	453	14	748	3480	1329	2214	0	790
"42"	"g11258.t1"	103.001527282092	-2.51701986294327	0.858506058954535	-2.9318603365577	0.00336938235049523	0.039817715482829	"sp"	"E9QAM5"	"HELZ2_MOUSE"	32.971	552	313	19	55	1641	680	1197	2.13e-68	261	"sp"	"E9QAM5"	"HELZ2_MOUSE"	32.971	552	313	19	55	1641	680	1197	2.13e-68	261
"43"	"g11258.t1"	103.001527282092	-2.51701986294327	0.858506058954535	-2.9318603365577	0.00336938235049523	0.039817715482829	"sp"	"E9QAM5"	"HELZ2_MOUSE"	32.971	552	313	19	55	1641	680	1197	2.13e-68	261	"sp"	"E9QAM5"	"HELZ2_MOUSE"	30.448	335	185	14	649	1599	2627	2931	6.01e-26	122
"44"	"g11258.t1"	103.001527282092	-2.51701986294327	0.858506058954535	-2.9318603365577	0.00336938235049523	0.039817715482829	"sp"	"E9QAM5"	"HELZ2_MOUSE"	32.971	552	313	19	55	1641	680	1197	2.13e-68	261	"sp"	"E9QAM5"	"HELZ2_MOUSE"	31.005	1661	950	44	1927	6555	1352	2934	0	647
"45"	"g11258.t1"	103.001527282092	-2.51701986294327	0.858506058954535	-2.9318603365577	0.00336938235049523	0.039817715482829	"sp"	"E9QAM5"	"HELZ2_MOUSE"	30.448	335	185	14	649	1599	2627	2931	6.01e-26	122	"sp"	"E9QAM5"	"HELZ2_MOUSE"	32.971	552	313	19	55	1641	680	1197	2.13e-68	261
"46"	"g11258.t1"	103.001527282092	-2.51701986294327	0.858506058954535	-2.9318603365577	0.00336938235049523	0.039817715482829	"sp"	"E9QAM5"	"HELZ2_MOUSE"	30.448	335	185	14	649	1599	2627	2931	6.01e-26	122	"sp"	"E9QAM5"	"HELZ2_MOUSE"	30.448	335	185	14	649	1599	2627	2931	6.01e-26	122
"47"	"g11258.t1"	103.001527282092	-2.51701986294327	0.858506058954535	-2.9318603365577	0.00336938235049523	0.039817715482829	"sp"	"E9QAM5"	"HELZ2_MOUSE"	30.448	335	185	14	649	1599	2627	2931	6.01e-26	122	"sp"	"E9QAM5"	"HELZ2_MOUSE"	31.005	1661	950	44	1927	6555	1352	2934	0	647
"48"	"g11258.t1"	103.001527282092	-2.51701986294327	0.858506058954535	-2.9318603365577	0.00336938235049523	0.039817715482829	"sp"	"E9QAM5"	"HELZ2_MOUSE"	31.005	1661	950	44	1927	6555	1352	2934	0	647	"sp"	"E9QAM5"	"HELZ2_MOUSE"	32.971	552	313	19	55	1641	680	1197	2.13e-68	261
"49"	"g11258.t1"	103.001527282092	-2.51701986294327	0.858506058954535	-2.9318603365577	0.00336938235049523	0.039817715482829	"sp"	"E9QAM5"	"HELZ2_MOUSE"	31.005	1661	950	44	1927	6555	1352	2934	0	647	"sp"	"E9QAM5"	"HELZ2_MOUSE"	30.448	335	185	14	649	1599	2627	2931	6.01e-26	122
"50"	"g11258.t1"	103.001527282092	-2.51701986294327	0.858506058954535	-2.9318603365577	0.00336938235049523	0.039817715482829	"sp"	"E9QAM5"	"HELZ2_MOUSE"	31.005	1661	950	44	1927	6555	1352	2934	0	647	"sp"	"E9QAM5"	"HELZ2_MOUSE"	31.005	1661	950	44	1927	6555	1352	2934	0	647
"51"	"g11276.t1"	595.31591499033	-10.8172310992776	1.43945645733779	-7.51480257991519	5.69968779574329e-14	1.47756024210827e-11	"sp"	"Q8TE57"	"ATS16_HUMAN"	31.452	744	413	25	1	2085	292	987	1.31e-93	318	"sp"	"Q8TE57"	"ATS16_HUMAN"	31.452	744	413	25	1	2085	292	987	1.31e-93	318
"52"	"g11312.t1"	69.3549743241983	-2.2664340548444	0.580331533969869	-3.90541254813507	9.40647719154581e-05	0.0024940088701375	"sp"	"Q3ZBH0"	"TCPB_BOVIN"	71.645	529	144	2	4	1575	6	533	0	754	"sp"	"Q3ZBH0"	"TCPB_BOVIN"	71.645	529	144	2	4	1575	6	533	0	754
"53"	"g11420.t1"	9.28706263896972	-5.15858392479216	1.17024380185072	-4.40812753430861	1.04268144574851e-05	0.000401318526761019	"sp"	"Q13702"	"RAPSN_HUMAN"	43.478	414	231	2	1	1239	1	412	2.5e-116	348	"sp"	"Q13702"	"RAPSN_HUMAN"	43.478	414	231	2	1	1239	1	412	2.5e-116	348
"54"	"g11431.t1"	11.8962634995297	6.25729429654401	1.47769391235394	4.23449961066447	2.29061181859629e-05	0.000764751991254081	"sp"	"P55345"	"ANM2_HUMAN"	48.756	402	201	4	172	1365	33	433	1.3e-140	412	"sp"	"P55345"	"ANM2_HUMAN"	48.756	402	201	4	172	1365	33	433	1.3e-140	412
"55"	"g11563.t1"	611.544994192474	2.41097815603958	0.70248391597961	3.43207595390634	0.000598979779193078	0.0111145426817006	"sp"	"Q9UGM3"	"DMBT1_HUMAN"	34.867	565	292	13	1	1536	1207	1748	1.28e-82	288	"sp"	"Q9UGM3"	"DMBT1_HUMAN"	34.867	565	292	13	1	1536	1207	1748	1.28e-82	288
"56"	"g11563.t1"	611.544994192474	2.41097815603958	0.70248391597961	3.43207595390634	0.000598979779193078	0.0111145426817006	"sp"	"Q9UGM3"	"DMBT1_HUMAN"	34.867	565	292	13	1	1536	1207	1748	1.28e-82	288	"sp"	"Q9UGM3"	"DMBT1_HUMAN"	31.961	413	202	15	1	1122	1594	1966	3.59e-37	152
"57"	"g11563.t1"	611.544994192474	2.41097815603958	0.70248391597961	3.43207595390634	0.000598979779193078	0.0111145426817006	"sp"	"Q9UGM3"	"DMBT1_HUMAN"	34.867	565	292	13	1	1536	1207	1748	1.28e-82	288	"sp"	"Q9UGM3"	"DMBT1_HUMAN"	35.81	525	277	13	130	1530	78	600	9.72e-78	273
"58"	"g11563.t1"	611.544994192474	2.41097815603958	0.70248391597961	3.43207595390634	0.000598979779193078	0.0111145426817006	"sp"	"Q9UGM3"	"DMBT1_HUMAN"	34.867	565	292	13	1	1536	1207	1748	1.28e-82	288	"sp"	"Q9UGM3"	"DMBT1_HUMAN"	35.993	539	286	13	1	1512	319	833	1.79e-83	290
"59"	"g11563.t1"	611.544994192474	2.41097815603958	0.70248391597961	3.43207595390634	0.000598979779193078	0.0111145426817006	"sp"	"Q9UGM3"	"DMBT1_HUMAN"	34.867	565	292	13	1	1536	1207	1748	1.28e-82	288	"sp"	"Q9UGM3"	"DMBT1_HUMAN"	35.211	568	293	13	1	1551	1078	1621	1.61e-83	290
"60"	"g11563.t1"	611.544994192474	2.41097815603958	0.70248391597961	3.43207595390634	0.000598979779193078	0.0111145426817006	"sp"	"Q9UGM3"	"DMBT1_HUMAN"	34.867	565	292	13	1	1536	1207	1748	1.28e-82	288	"sp"	"Q9UGM3"	"DMBT1_HUMAN"	50	114	53	2	184	516	1879	1991	5.48e-22	105
"61"	"g11563.t1"	611.544994192474	2.41097815603958	0.70248391597961	3.43207595390634	0.000598979779193078	0.0111145426817006	"sp"	"Q9UGM3"	"DMBT1_HUMAN"	34.867	565	292	13	1	1536	1207	1748	1.28e-82	288	"sp"	"Q9UGM3"	"DMBT1_HUMAN"	35.135	555	288	11	1	1512	947	1480	7.62e-82	285
"62"	"g11563.t1"	611.544994192474	2.41097815603958	0.70248391597961	3.43207595390634	0.000598979779193078	0.0111145426817006	"sp"	"Q9UGM3"	"DMBT1_HUMAN"	34.867	565	292	13	1	1536	1207	1748	1.28e-82	288	"sp"	"Q9UGM3"	"DMBT1_HUMAN"	35.112	581	281	16	22	1512	525	1093	9.65e-82	285
"63"	"g11563.t1"	611.544994192474	2.41097815603958	0.70248391597961	3.43207595390634	0.000598979779193078	0.0111145426817006	"sp"	"Q9UGM3"	"DMBT1_HUMAN"	34.867	565	292	13	1	1536	1207	1748	1.28e-82	288	"sp"	"Q9UGM3"	"DMBT1_HUMAN"	35.727	557	299	13	1	1566	187	719	6.86e-84	291
"64"	"g11563.t1"	611.544994192474	2.41097815603958	0.70248391597961	3.43207595390634	0.000598979779193078	0.0111145426817006	"sp"	"Q9UGM3"	"DMBT1_HUMAN"	31.961	413	202	15	1	1122	1594	1966	3.59e-37	152	"sp"	"Q9UGM3"	"DMBT1_HUMAN"	34.867	565	292	13	1	1536	1207	1748	1.28e-82	288
"65"	"g11563.t1"	611.544994192474	2.41097815603958	0.70248391597961	3.43207595390634	0.000598979779193078	0.0111145426817006	"sp"	"Q9UGM3"	"DMBT1_HUMAN"	31.961	413	202	15	1	1122	1594	1966	3.59e-37	152	"sp"	"Q9UGM3"	"DMBT1_HUMAN"	31.961	413	202	15	1	1122	1594	1966	3.59e-37	152
"66"	"g11563.t1"	611.544994192474	2.41097815603958	0.70248391597961	3.43207595390634	0.000598979779193078	0.0111145426817006	"sp"	"Q9UGM3"	"DMBT1_HUMAN"	31.961	413	202	15	1	1122	1594	1966	3.59e-37	152	"sp"	"Q9UGM3"	"DMBT1_HUMAN"	35.81	525	277	13	130	1530	78	600	9.72e-78	273
"67"	"g11563.t1"	611.544994192474	2.41097815603958	0.70248391597961	3.43207595390634	0.000598979779193078	0.0111145426817006	"sp"	"Q9UGM3"	"DMBT1_HUMAN"	31.961	413	202	15	1	1122	1594	1966	3.59e-37	152	"sp"	"Q9UGM3"	"DMBT1_HUMAN"	35.993	539	286	13	1	1512	319	833	1.79e-83	290
"68"	"g11563.t1"	611.544994192474	2.41097815603958	0.70248391597961	3.43207595390634	0.000598979779193078	0.0111145426817006	"sp"	"Q9UGM3"	"DMBT1_HUMAN"	31.961	413	202	15	1	1122	1594	1966	3.59e-37	152	"sp"	"Q9UGM3"	"DMBT1_HUMAN"	35.211	568	293	13	1	1551	1078	1621	1.61e-83	290
"69"	"g11563.t1"	611.544994192474	2.41097815603958	0.70248391597961	3.43207595390634	0.000598979779193078	0.0111145426817006	"sp"	"Q9UGM3"	"DMBT1_HUMAN"	31.961	413	202	15	1	1122	1594	1966	3.59e-37	152	"sp"	"Q9UGM3"	"DMBT1_HUMAN"	50	114	53	2	184	516	1879	1991	5.48e-22	105
"70"	"g11563.t1"	611.544994192474	2.41097815603958	0.70248391597961	3.43207595390634	0.000598979779193078	0.0111145426817006	"sp"	"Q9UGM3"	"DMBT1_HUMAN"	31.961	413	202	15	1	1122	1594	1966	3.59e-37	152	"sp"	"Q9UGM3"	"DMBT1_HUMAN"	35.135	555	288	11	1	1512	947	1480	7.62e-82	285
"71"	"g11563.t1"	611.544994192474	2.41097815603958	0.70248391597961	3.43207595390634	0.000598979779193078	0.0111145426817006	"sp"	"Q9UGM3"	"DMBT1_HUMAN"	31.961	413	202	15	1	1122	1594	1966	3.59e-37	152	"sp"	"Q9UGM3"	"DMBT1_HUMAN"	35.112	581	281	16	22	1512	525	1093	9.65e-82	285
"72"	"g11563.t1"	611.544994192474	2.41097815603958	0.70248391597961	3.43207595390634	0.000598979779193078	0.0111145426817006	"sp"	"Q9UGM3"	"DMBT1_HUMAN"	31.961	413	202	15	1	1122	1594	1966	3.59e-37	152	"sp"	"Q9UGM3"	"DMBT1_HUMAN"	35.727	557	299	13	1	1566	187	719	6.86e-84	291
"73"	"g11563.t1"	611.544994192474	2.41097815603958	0.70248391597961	3.43207595390634	0.000598979779193078	0.0111145426817006	"sp"	"Q9UGM3"	"DMBT1_HUMAN"	35.81	525	277	13	130	1530	78	600	9.72e-78	273	"sp"	"Q9UGM3"	"DMBT1_HUMAN"	34.867	565	292	13	1	1536	1207	1748	1.28e-82	288
"74"	"g11563.t1"	611.544994192474	2.41097815603958	0.70248391597961	3.43207595390634	0.000598979779193078	0.0111145426817006	"sp"	"Q9UGM3"	"DMBT1_HUMAN"	35.81	525	277	13	130	1530	78	600	9.72e-78	273	"sp"	"Q9UGM3"	"DMBT1_HUMAN"	31.961	413	202	15	1	1122	1594	1966	3.59e-37	152
"75"	"g11563.t1"	611.544994192474	2.41097815603958	0.70248391597961	3.43207595390634	0.000598979779193078	0.0111145426817006	"sp"	"Q9UGM3"	"DMBT1_HUMAN"	35.81	525	277	13	130	1530	78	600	9.72e-78	273	"sp"	"Q9UGM3"	"DMBT1_HUMAN"	35.81	525	277	13	130	1530	78	600	9.72e-78	273
"76"	"g11563.t1"	611.544994192474	2.41097815603958	0.70248391597961	3.43207595390634	0.000598979779193078	0.0111145426817006	"sp"	"Q9UGM3"	"DMBT1_HUMAN"	35.81	525	277	13	130	1530	78	600	9.72e-78	273	"sp"	"Q9UGM3"	"DMBT1_HUMAN"	35.993	539	286	13	1	1512	319	833	1.79e-83	290
